id,student_id,subject_id,date,grade
1,1,91,2025-10-08,Незачет
2,1,92,2025-10-15,3
3,1,93,2026-02-14,Зачет
4,1,94,2025-06-12,3
5,1,95,2025-09-05,5
6,1,96,2025-10-19,Зачет
7,1,97,2025-09-05,Незачет
8,1,98,2026-01-20,Незачет
9,1,99,2025-08-13,Незачет
10,1,100,2025-09-29,Незачет
11,1,101,2025-07-05,3
12,1,102,2026-01-28,Зачет
13,1,103,2026-04-30,2
14,1,104,2025-11-07,5
15,1,105,2025-06-02,Незачет
16,1,106,2025-06-11,2
17,1,107,2026-03-26,Зачет
18,1,108,2025-06-09,2
19,1,109,2025-06-12,3
20,1,110,2025-10-21,Зачет
21,1,111,2025-06-13,Зачет
22,1,112,2026-02-20,4
23,1,113,2026-02-17,5
24,1,114,2025-09-28,2
25,1,115,2026-03-18,3
26,1,116,2025-06-26,5
27,1,117,2025-12-09,Зачет
28,1,118,2025-05-30,Незачет
29,1,119,2025-12-20,Зачет
30,1,120,2025-12-11,5
31,2,91,2025-12-11,Зачет
32,2,92,2025-09-12,5
33,2,93,2026-01-22,Незачет
34,2,94,2025-06-23,2
35,2,95,2025-10-13,5
36,2,96,2025-09-21,Незачет
37,2,97,2026-04-11,Зачет
38,2,98,2026-01-20,Незачет
39,2,99,2026-05-07,Незачет
40,2,100,2026-02-22,Зачет
41,2,101,2025-10-18,3
42,2,102,2026-04-09,Зачет
43,2,103,2026-04-27,2
44,2,104,2026-02-11,5
45,2,105,2025-05-26,Незачет
46,2,106,2025-08-26,2
47,2,107,2025-12-26,Зачет
48,2,108,2025-09-05,2
49,2,109,2025-09-20,5
50,2,110,2025-06-16,Зачет
51,2,111,2025-12-17,Незачет
52,2,112,2025-11-20,5
53,2,113,2025-07-28,3
54,2,114,2025-07-06,3
55,2,115,2026-01-17,5
56,2,116,2025-11-10,4
57,2,117,2025-08-02,Незачет
58,2,118,2026-04-01,Незачет
59,2,119,2025-06-18,Незачет
60,2,120,2025-09-19,5
61,3,91,2026-03-31,Зачет
62,3,92,2025-12-09,3
63,3,93,2025-09-26,Незачет
64,3,94,2025-06-20,2
65,3,95,2026-02-27,3
66,3,96,2025-08-23,Незачет
67,3,97,2025-12-15,Зачет
68,3,98,2025-08-02,Зачет
69,3,99,2026-03-16,Зачет
70,3,100,2025-10-20,Зачет
71,3,101,2026-03-31,4
72,3,102,2025-12-10,Незачет
73,3,103,2026-03-01,5
74,3,104,2026-03-20,5
75,3,105,2026-01-03,Зачет
76,3,106,2025-12-31,3
77,3,107,2026-01-24,Незачет
78,3,108,2026-01-11,4
79,3,109,2025-12-09,3
80,3,110,2025-05-17,Незачет
81,3,111,2025-12-29,Зачет
82,3,112,2026-05-02,2
83,3,113,2026-01-17,2
84,3,114,2026-03-25,5
85,3,115,2026-01-31,2
86,3,116,2025-08-18,3
87,3,117,2025-05-18,Зачет
88,3,118,2025-07-16,Зачет
89,3,119,2025-08-21,Зачет
90,3,120,2026-02-03,2
91,4,91,2026-02-27,Незачет
92,4,92,2025-09-03,2
93,4,93,2026-04-29,Зачет
94,4,94,2025-09-15,2
95,4,95,2025-09-20,5
96,4,96,2025-05-09,Незачет
97,4,97,2025-07-16,Зачет
98,4,98,2026-04-09,Зачет
99,4,99,2025-07-01,Зачет
100,4,100,2025-12-12,Зачет
101,4,101,2026-01-17,4
102,4,102,2025-10-09,Зачет
103,4,103,2025-06-03,4
104,4,104,2025-07-01,4
105,4,105,2026-02-18,Зачет
106,4,106,2026-01-07,4
107,4,107,2025-05-18,Зачет
108,4,108,2025-06-11,3
109,4,109,2026-02-20,5
110,4,110,2025-11-29,Незачет
111,4,111,2025-07-29,Незачет
112,4,112,2025-09-30,2
113,4,113,2025-10-17,3
114,4,114,2025-10-30,5
115,4,115,2025-09-16,5
116,4,116,2025-07-07,2
117,4,117,2025-09-27,Незачет
118,4,118,2025-09-05,Незачет
119,4,119,2026-02-11,Незачет
120,4,120,2025-09-09,5
121,5,91,2026-03-04,Незачет
122,5,92,2026-05-07,3
123,5,93,2025-12-13,Незачет
124,5,94,2025-12-24,5
125,5,95,2025-06-08,3
126,5,96,2026-04-15,Незачет
127,5,97,2025-05-27,Зачет
128,5,98,2025-07-06,Зачет
129,5,99,2025-07-07,Незачет
130,5,100,2026-02-23,Зачет
131,5,101,2026-01-01,5
132,5,102,2025-05-26,Зачет
133,5,103,2026-01-23,5
134,5,104,2025-06-07,5
135,5,105,2025-08-20,Зачет
136,5,106,2025-10-26,5
137,5,107,2026-01-19,Зачет
138,5,108,2025-10-18,4
139,5,109,2025-11-11,3
140,5,110,2025-12-28,Незачет
141,5,111,2025-10-25,Зачет
142,5,112,2025-10-14,5
143,5,113,2025-08-21,4
144,5,114,2025-07-29,2
145,5,115,2026-02-24,3
146,5,116,2025-11-21,2
147,5,117,2025-06-20,Незачет
148,5,118,2025-09-18,Незачет
149,5,119,2025-10-20,Зачет
150,5,120,2025-06-19,2
151,6,91,2025-08-25,Зачет
152,6,92,2026-01-25,3
153,6,93,2026-01-25,Незачет
154,6,94,2025-12-23,3
155,6,95,2025-11-11,4
156,6,96,2025-11-27,Незачет
157,6,97,2026-01-21,Зачет
158,6,98,2025-09-03,Зачет
159,6,99,2025-05-24,Зачет
160,6,100,2025-07-31,Зачет
161,6,101,2025-10-07,5
162,6,102,2025-12-25,Зачет
163,6,103,2025-05-28,3
164,6,104,2025-05-09,5
165,6,105,2025-07-25,Зачет
166,6,106,2025-09-01,4
167,6,107,2025-07-28,Незачет
168,6,108,2026-03-01,5
169,6,109,2025-06-29,5
170,6,110,2026-02-27,Незачет
171,6,111,2025-08-14,Незачет
172,6,112,2025-08-27,4
173,6,113,2025-09-11,4
174,6,114,2025-06-22,5
175,6,115,2025-05-10,5
176,6,116,2025-11-16,2
177,6,117,2026-02-21,Незачет
178,6,118,2025-10-21,Незачет
179,6,119,2025-07-14,Зачет
180,6,120,2025-06-26,4
181,7,91,2025-10-01,Незачет
182,7,92,2025-11-29,5
183,7,93,2026-02-04,Зачет
184,7,94,2025-08-04,3
185,7,95,2025-11-17,3
186,7,96,2025-12-09,Зачет
187,7,97,2026-03-26,Незачет
188,7,98,2026-01-21,Незачет
189,7,99,2026-03-16,Незачет
190,7,100,2025-09-21,Зачет
191,7,101,2025-06-03,3
192,7,102,2025-10-08,Незачет
193,7,103,2026-04-06,3
194,7,104,2026-02-19,5
195,7,105,2025-05-23,Зачет
196,7,106,2025-10-23,5
197,7,107,2025-05-14,Незачет
198,7,108,2025-11-01,4
199,7,109,2026-04-29,5
200,7,110,2025-06-06,Незачет
201,7,111,2026-04-06,Незачет
202,7,112,2025-09-05,3
203,7,113,2025-12-16,4
204,7,114,2025-10-20,3
205,7,115,2025-12-15,3
206,7,116,2025-10-11,5
207,7,117,2026-02-06,Зачет
208,7,118,2026-01-10,Зачет
209,7,119,2025-10-16,Зачет
210,7,120,2025-08-27,2
211,8,91,2025-06-20,Зачет
212,8,92,2025-10-11,2
213,8,93,2025-05-15,Незачет
214,8,94,2025-09-10,3
215,8,95,2025-07-12,3
216,8,96,2026-03-14,Зачет
217,8,97,2026-01-02,Зачет
218,8,98,2025-11-01,Зачет
219,8,99,2026-03-26,Зачет
220,8,100,2026-01-29,Незачет
221,8,101,2026-04-29,4
222,8,102,2025-09-24,Зачет
223,8,103,2025-06-10,5
224,8,104,2025-10-23,5
225,8,105,2026-03-30,Зачет
226,8,106,2025-06-17,2
227,8,107,2025-08-09,Незачет
228,8,108,2025-10-23,2
229,8,109,2025-12-21,2
230,8,110,2025-10-09,Незачет
231,8,111,2025-11-26,Незачет
232,8,112,2025-06-06,2
233,8,113,2025-10-07,5
234,8,114,2026-04-10,3
235,8,115,2025-09-04,2
236,8,116,2026-02-20,2
237,8,117,2025-09-15,Зачет
238,8,118,2025-08-01,Зачет
239,8,119,2025-09-13,Зачет
240,8,120,2026-03-05,4
241,9,91,2025-07-11,Незачет
242,9,92,2025-06-05,4
243,9,93,2025-11-21,Незачет
244,9,94,2026-01-07,2
245,9,95,2025-06-20,4
246,9,96,2025-11-29,Незачет
247,9,97,2025-11-21,Незачет
248,9,98,2025-07-21,Зачет
249,9,99,2026-04-23,Зачет
250,9,100,2026-03-04,Незачет
251,9,101,2025-09-19,2
252,9,102,2025-09-20,Зачет
253,9,103,2026-02-13,2
254,9,104,2026-03-21,5
255,9,105,2026-01-12,Незачет
256,9,106,2026-03-19,5
257,9,107,2025-07-03,Незачет
258,9,108,2025-08-06,2
259,9,109,2025-06-15,2
260,9,110,2025-07-02,Зачет
261,9,111,2025-08-14,Зачет
262,9,112,2025-07-22,5
263,9,113,2025-07-13,5
264,9,114,2025-12-26,4
265,9,115,2025-07-05,2
266,9,116,2026-02-26,2
267,9,117,2026-02-25,Зачет
268,9,118,2026-01-16,Зачет
269,9,119,2025-06-05,Незачет
270,9,120,2025-07-14,4
271,10,91,2026-03-03,Зачет
272,10,92,2026-01-05,2
273,10,93,2025-11-14,Незачет
274,10,94,2025-11-03,2
275,10,95,2026-02-23,3
276,10,96,2025-12-11,Незачет
277,10,97,2026-02-26,Зачет
278,10,98,2025-12-18,Зачет
279,10,99,2025-10-28,Зачет
280,10,100,2026-01-26,Незачет
281,10,101,2026-04-30,2
282,10,102,2026-04-14,Незачет
283,10,103,2025-12-12,3
284,10,104,2026-01-11,3
285,10,105,2026-01-08,Незачет
286,10,106,2026-01-04,4
287,10,107,2025-09-09,Незачет
288,10,108,2026-04-07,3
289,10,109,2026-01-05,2
290,10,110,2025-09-06,Незачет
291,10,111,2025-07-04,Зачет
292,10,112,2025-10-24,2
293,10,113,2025-06-02,5
294,10,114,2025-11-05,3
295,10,115,2025-10-25,2
296,10,116,2026-01-07,4
297,10,117,2025-09-01,Незачет
298,10,118,2026-03-12,Незачет
299,10,119,2025-08-21,Зачет
300,10,120,2025-12-22,4
301,11,91,2025-05-28,Незачет
302,11,92,2025-09-20,5
303,11,93,2025-11-20,Зачет
304,11,94,2025-06-04,4
305,11,95,2025-09-04,5
306,11,96,2025-11-02,Незачет
307,11,97,2025-10-29,Зачет
308,11,98,2025-05-21,Незачет
309,11,99,2025-05-29,Зачет
310,11,100,2025-09-27,Незачет
311,11,101,2026-03-25,3
312,11,102,2025-08-26,Зачет
313,11,103,2025-06-05,2
314,11,104,2026-01-12,4
315,11,105,2026-04-07,Зачет
316,11,106,2026-04-04,5
317,11,107,2025-06-11,Зачет
318,11,108,2025-12-31,5
319,11,109,2025-12-23,4
320,11,110,2025-11-19,Незачет
321,11,111,2025-10-03,Зачет
322,11,112,2025-11-02,2
323,11,113,2025-12-18,2
324,11,114,2025-12-08,4
325,11,115,2026-03-10,5
326,11,116,2026-02-17,4
327,11,117,2026-04-19,Незачет
328,11,118,2025-05-22,Зачет
329,11,119,2025-10-28,Зачет
330,11,120,2026-04-25,2
331,12,91,2026-03-17,Зачет
332,12,92,2025-12-15,5
333,12,93,2026-01-15,Незачет
334,12,94,2025-07-19,5
335,12,95,2025-09-08,2
336,12,96,2025-12-27,Зачет
337,12,97,2025-11-07,Зачет
338,12,98,2025-11-17,Незачет
339,12,99,2025-07-04,Зачет
340,12,100,2025-05-31,Незачет
341,12,101,2025-10-28,5
342,12,102,2025-06-16,Зачет
343,12,103,2026-03-17,4
344,12,104,2026-04-21,5
345,12,105,2026-03-28,Незачет
346,12,106,2025-09-17,2
347,12,107,2026-02-08,Зачет
348,12,108,2025-06-08,3
349,12,109,2025-11-18,5
350,12,110,2026-01-12,Зачет
351,12,111,2025-07-13,Зачет
352,12,112,2025-05-22,4
353,12,113,2025-08-11,4
354,12,114,2026-02-05,4
355,12,115,2025-10-24,5
356,12,116,2025-10-24,3
357,12,117,2025-11-26,Зачет
358,12,118,2025-11-26,Зачет
359,12,119,2025-12-29,Незачет
360,12,120,2025-07-07,4
361,13,91,2025-09-25,Незачет
362,13,92,2025-09-28,4
363,13,93,2026-04-28,Незачет
364,13,94,2025-08-24,2
365,13,95,2025-10-04,4
366,13,96,2025-10-12,Незачет
367,13,97,2026-03-03,Зачет
368,13,98,2025-09-15,Незачет
369,13,99,2026-01-25,Зачет
370,13,100,2025-12-25,Незачет
371,13,101,2025-05-27,2
372,13,102,2026-03-09,Зачет
373,13,103,2026-01-07,4
374,13,104,2026-01-13,2
375,13,105,2025-09-13,Незачет
376,13,106,2025-06-01,4
377,13,107,2025-09-12,Незачет
378,13,108,2025-06-12,4
379,13,109,2025-12-09,5
380,13,110,2026-01-25,Незачет
381,13,111,2025-10-04,Незачет
382,13,112,2025-08-25,3
383,13,113,2025-08-12,4
384,13,114,2026-02-12,4
385,13,115,2026-04-02,3
386,13,116,2026-01-16,5
387,13,117,2026-04-23,Незачет
388,13,118,2025-12-27,Зачет
389,13,119,2026-04-11,Незачет
390,13,120,2025-07-04,4
391,14,91,2025-09-13,Незачет
392,14,92,2025-06-07,5
393,14,93,2025-12-19,Зачет
394,14,94,2026-01-19,4
395,14,95,2025-06-30,5
396,14,96,2026-04-28,Незачет
397,14,97,2025-09-19,Незачет
398,14,98,2025-09-04,Незачет
399,14,99,2026-01-16,Зачет
400,14,100,2026-02-02,Зачет
401,14,101,2026-01-19,3
402,14,102,2025-10-06,Зачет
403,14,103,2025-06-26,5
404,14,104,2025-12-24,3
405,14,105,2026-02-06,Незачет
406,14,106,2026-05-06,4
407,14,107,2025-06-08,Зачет
408,14,108,2025-09-04,5
409,14,109,2025-12-10,5
410,14,110,2025-09-30,Зачет
411,14,111,2026-01-11,Незачет
412,14,112,2026-03-10,3
413,14,113,2025-09-11,4
414,14,114,2026-03-18,3
415,14,115,2025-06-25,5
416,14,116,2026-01-22,5
417,14,117,2026-02-03,Зачет
418,14,118,2026-03-24,Незачет
419,14,119,2026-02-17,Незачет
420,14,120,2026-01-28,5
421,15,91,2026-04-26,Незачет
422,15,92,2025-11-27,2
423,15,93,2025-06-12,Незачет
424,15,94,2026-01-12,2
425,15,95,2026-01-22,2
426,15,96,2025-10-18,Зачет
427,15,97,2025-11-20,Незачет
428,15,98,2025-09-24,Зачет
429,15,99,2025-05-14,Зачет
430,15,100,2025-09-24,Незачет
431,15,101,2025-09-03,4
432,15,102,2025-07-16,Незачет
433,15,103,2025-07-29,2
434,15,104,2025-09-16,2
435,15,105,2026-02-28,Зачет
436,15,106,2025-11-11,4
437,15,107,2025-07-20,Зачет
438,15,108,2025-08-02,3
439,15,109,2025-06-29,5
440,15,110,2025-07-06,Незачет
441,15,111,2025-06-05,Незачет
442,15,112,2025-08-29,5
443,15,113,2026-03-30,3
444,15,114,2026-03-09,4
445,15,115,2025-06-15,2
446,15,116,2025-11-20,5
447,15,117,2026-03-02,Зачет
448,15,118,2025-12-02,Незачет
449,15,119,2026-03-27,Незачет
450,15,120,2026-02-17,2
451,16,91,2026-04-15,Зачет
452,16,92,2025-11-27,3
453,16,93,2025-05-21,Незачет
454,16,94,2026-01-19,4
455,16,95,2025-09-14,4
456,16,96,2026-04-12,Незачет
457,16,97,2026-02-28,Зачет
458,16,98,2026-01-02,Незачет
459,16,99,2025-06-26,Незачет
460,16,100,2025-12-24,Незачет
461,16,101,2025-09-30,2
462,16,102,2025-07-05,Незачет
463,16,103,2025-07-09,5
464,16,104,2025-07-16,4
465,16,105,2026-03-25,Зачет
466,16,106,2026-01-31,4
467,16,107,2026-03-02,Зачет
468,16,108,2026-01-04,2
469,16,109,2026-03-17,2
470,16,110,2026-04-22,Незачет
471,16,111,2025-07-10,Зачет
472,16,112,2026-02-11,3
473,16,113,2025-10-23,3
474,16,114,2025-05-23,3
475,16,115,2025-10-13,3
476,16,116,2025-09-25,4
477,16,117,2026-01-24,Незачет
478,16,118,2026-02-10,Незачет
479,16,119,2025-08-07,Зачет
480,16,120,2025-10-26,5
481,17,91,2025-12-30,Зачет
482,17,92,2025-08-25,3
483,17,93,2026-02-23,Незачет
484,17,94,2026-02-21,5
485,17,95,2026-03-07,2
486,17,96,2025-10-28,Зачет
487,17,97,2025-08-05,Незачет
488,17,98,2025-11-30,Незачет
489,17,99,2025-08-07,Незачет
490,17,100,2025-09-04,Зачет
491,17,101,2026-03-17,3
492,17,102,2026-03-07,Зачет
493,17,103,2025-11-05,4
494,17,104,2026-04-23,2
495,17,105,2026-03-27,Зачет
496,17,106,2025-07-21,3
497,17,107,2025-09-26,Незачет
498,17,108,2026-01-25,4
499,17,109,2025-12-14,3
500,17,110,2025-10-25,Незачет
501,17,111,2025-11-02,Зачет
502,17,112,2026-03-01,4
